criteria_id,criteria_type,criteria_label,criteria_description
1,Exclusion,age_exc,"Age <60 or ≥80 years"
2,Exclusion,bmi_exc,"BMI > 40"
3,Exclusion,vit_exc,"Systolic BP, HbA1c, lipids, and BMI all conform to current health guidelines for age (systolic BP <130mmHg; LDL cholesterol <130mg/dL; HbA1c <6.0%)"
4,Exclusion,neuro,"Any significant neurologic disease, including any form of dementia, mild cognitive impairment, Parkinson’s disease, Huntington’s disease, normal pressure hydrocephalus, brain tumor, progressive supranuclear palsy, seizure disorder, subdural hematoma, multiple sclerosis, or history of significant head trauma with persistent neurologic sequelae or known structural brain abnormalities"
5,Exclusion,drugs_ad,"Current or past use of medications for memory impairment or AD (e.g., cholinesterase inhibitors, memantine)"
6,Exclusion,dep,"History of major depression within the last 6 months"
7,Exclusion,bpd,"History of bipolar disorder or schizophrenia as per DSM V criteria"
8,Exclusion,schizo,"History of schizophrenia as per DSM V criteria"
9,Exclusion,sub_abuse,"History of alcohol or substance abuse or dependence within the past 2 years, as per DSM V criteria"
10,Exclusion,drugs_psychoactive,"Use of psychoactive medications within the last 3 months including tricyclic antidepressants, antipsychotics, mood-stabilizing psychotropic agents (e.g., lithium salts), psychostimulants, opiate analgesics (e.g., Tramadol), antiparkinsonian medications, anticonvulsant medications (except gabapentin and pregabalin for non-seizure indications), systemic corticosteroids, or medications with significant central anticholinergic activity are allowed as long as (1) the medication is not used to treat an exclusionary medical condition (e.g., permissible indications: quetiapine for sleep, diazepam for muscle cramps), and (2) dose or regimen remains stable for at least 3 months prior to randomization; chronic or intermittent use of opiates (schedule II drugs) is exclusionary"
11,Exclusion,cardio,"Significant cardiovascular disease (including NYHA Class III or IV congestive heart failure, clinically significant aortic stenosis, history of cardiac arrest, use of a cardiac defibrillator or uncontrolled angina)"
12,Exclusion,heart,"Serious conduction disorder (e.g., 3rd degree heart block), uncontrolled arrhythmia, or new Q waves or ST-segment depressions (>3 mm) on ECG (treated atrial fibrillation for more than 1 year or occasional premature ventricular ontractions on ECG are not exclusions)"
13,Exclusion,clot,"Myocardial infarction, major heart surgery (i.e., valve replacement, bypass surgery, stent placement, angioplasty), deep vein thrombosis, or pulmonary embolus in the past 6 months"
14,Exclusion,stroke_large,"Large vessel stroke in the past 2 years"
15,Exclusion,tia,"History of TIA or small vessel stroke in the last 6 months; TIA occurring longer than 6 months with residual effects"
16,Exclusion,t2d_insulin,"Past or current use of insulin to treat type 2 diabetes"
17,Exclusion,lung,"Lung disease requiring either regular use of corticosteroids or the use of supplemental oxygen; intermittent use of corticosteroids or supplemental oxygen to treat chronic obstructive pulmonary disease exacerbation is allowed; use of inhaled steroids for asthma is allowed"
18,Exclusion,renal,"Renal disease"
20,Exclusion,cancer,"History within the last 2 years of treatment for primary or recurrent malignant disease requiring treatment, excluding non-melanoma skin cancers, resected cutaneous squamous cell carcinoma in situ, basal cell carcinoma, cervical carcinoma in situ, or in situ prostate cancer with normal prostate-specific antigen posttreatment"
21,Exclusion,bone,"History of hip fracture, joint replacement, or spinal surgery in the last 6 months"
22,Exclusion,therapy,"Currently receiving physical therapy or cardiopulmonary rehabilitation"
23,Exclusion,bariatric,"History of a malabsorptive bariatric procedure (gastric bypass, biliopancreatic diversion); other bariatric procedures involving restriction (i.e., sleeve, band) are not exclusionary"
24,Exclusion,nursing_home,"Resides in an assisted living facility or nursing home"
26,Exclusion,pregnant,"For women: currently pregnant, pregnant within the past 6 months, or planning to become pregnant within the next 6 months"
27,Inclusion,bp_inc,"Systolic BP >130mmHg"
28,Inclusion,ldl_inc,"LDL cholesterol >130 mg/dL"
29,Inclusion,gluc_inc,"Elevated blood glucose levels (glycosylated hemoglobin >5.6% OR fasting glucose >100mg/dL)"
