phenotype_id,fact_concept
1,DEM|DATE_OF_BIRTH
2,DEM|DATE_OF_BIRTH
3,ECHO:BMI
3,VITAL:HT
3,VITAL:ORIGINAL_BMI
3,VITAL:WT
4,VITAL:BP_SYSTOLIC
5,LAB|A1CP:HBA1C
5,LAB|BMEP:HBA1C
5,LAB|CBC:HBA1C
5,LAB|CBCD:HBA1C
5,LAB|CBCD:HGBA1C
5,LAB|CCUAP:HBA1C
5,LAB|CMEP:HBA1C
5,LAB|CMEP:HGBA1C
5,LAB|ESR:HBA1C
5,LAB|ESR:HGBA1C
5,LAB|HBA1C
5,LAB|HBA1C:HBA1C
5,LAB|HBA1C:HGBA1C
5,LAB|HGBA1C
5,LAB|LPP:HGBA1C
5,LAB|PA1C
5,LAB|PA1C:PA1C
6,LAB|CBC:LDL
6,LAB|CCUAP:LDL
6,LAB|CHL:LDL
6,LAB|CMEP:LDL
6,LAB|CMEP:LDLCALC
6,LAB|CMEP:LDLDIRECT
6,LAB|DLDL
6,LAB|DLDL:DLDL
6,LAB|LDL
6,LAB|LDLC:CHOL
6,LAB|LDLC:LDL
6,LAB|LDLC:LDLC
6,LAB|LDLC:TRIG
6,LAB|LDLCALC
6,LAB|LDLCHOCALC
6,LAB|LDLD
6,LAB|LIPOF:LDL3S
6,LAB|LIPOF:LDL4S
6,LAB|LIPOF:LDLC
6,LAB|LPP:DIRLDL
6,LAB|LPP:LDL
6,LAB|LPP:LDLC
6,LAB|LPP:LDLCALC
6,LAB|LPP:LDLD
6,LAB|LPP:LDLDIRECT
6,LAB|LPPC:LDL
6,LAB|LPPC:LDLC
6,LAB|LPR:LCHOL
6,LAB|LPR:LDLC
6,LAB|NONHDLCHOL
6,LAB|POCLDL
6,LAB|SLDLD:DIRLDL
6,LAB|SLDLD:LDLD
6,LAB|TRIGL:LDL
7,ICD10:F01.50
7,ICD10:F01.51
7,ICD10:F02.80
7,ICD10:F02.81
7,ICD10:F03.90
7,ICD10:F03.91
7,ICD10:G31.83
7,ICD9:290.0
7,ICD9:290.10
7,ICD9:290.11
7,ICD9:290.12
7,ICD9:290.13
7,ICD9:290.20
7,ICD9:290.21
7,ICD9:290.3
7,ICD9:290.40
7,ICD9:290.41
7,ICD9:290.42
7,ICD9:290.43
7,ICD9:290.8
7,ICD9:290.9
7,ICD9:294.1
7,ICD9:294.10
7,ICD9:294.11
7,ICD9:294.20
7,ICD9:294.21
7,ICD9:331.82
8,ICD10:G31.84
8,ICD9:331.83
9,ICD10:G20
9,ICD9:332.0
10,ICD10:G10
10,ICD9:333.4
11,ICD10:G91.2
11,ICD9:331.5
12,ICD10:C71.0
12,ICD10:C71.1
12,ICD10:C71.2
12,ICD10:C71.3
12,ICD10:C71.5
12,ICD10:C71.6
12,ICD10:C71.7
12,ICD10:C71.9
12,ICD10:D49.6
12,ICD9:191.0
12,ICD9:191.1
12,ICD9:191.2
12,ICD9:191.3
12,ICD9:191.4
12,ICD9:191.5
12,ICD9:191.6
12,ICD9:191.7
12,ICD9:191.8
12,ICD9:191.9
12,ICD9:239.6
13,ICD10:G23.1
13,ICD9:333.0
14,ICD10:R56.9
14,ICD9:780.39
15,ICD10:I62.00
15,ICD10:I62.01
15,ICD10:I62.02
15,ICD10:I62.03
15,ICD9:432.1
16,ICD10:G35
16,ICD9:340
17,ICD10:S02.0XXA
17,ICD10:S02.0XXB
17,ICD10:S02.0XXD
17,ICD10:S02.0XXK
17,ICD10:S02.0XXS
17,ICD10:S02.101A
17,ICD10:S02.102A
17,ICD10:S02.109A
17,ICD10:S02.109B
17,ICD10:S02.109D
17,ICD10:S02.109S
17,ICD10:S02.10XA
17,ICD10:S02.10XD
17,ICD10:S02.110S
17,ICD10:S02.113A
17,ICD10:S02.113D
17,ICD10:S02.118D
17,ICD10:S02.119A
17,ICD10:S02.119D
17,ICD10:S02.119K
17,ICD10:S02.119S
17,ICD10:S02.11AA
17,ICD10:S02.11AD
17,ICD10:S02.11BA
17,ICD10:S02.11HA
17,ICD10:S02.19XA
17,ICD10:S02.19XB
17,ICD10:S02.19XD
17,ICD10:S02.19XG
17,ICD10:S02.19XS
17,ICD10:S02.30XB
17,ICD10:S02.31XB
17,ICD10:S02.31XG
17,ICD10:S02.32XB
17,ICD10:S02.32XS
17,ICD10:S02.3XXK
17,ICD10:S02.402S
17,ICD10:S02.40BA
17,ICD10:S02.40BD
17,ICD10:S02.40CK
17,ICD10:S02.40CS
17,ICD10:S02.411A
17,ICD10:S02.411B
17,ICD10:S02.411D
17,ICD10:S02.412A
17,ICD10:S02.412D
17,ICD10:S02.412S
17,ICD10:S02.413A
17,ICD10:S02.413B
17,ICD10:S02.413D
17,ICD10:S02.5XXG
17,ICD10:S02.5XXS
17,ICD10:S02.600S
17,ICD10:S02.601S
17,ICD10:S02.610A
17,ICD10:S02.610B
17,ICD10:S02.610D
17,ICD10:S02.612G
17,ICD10:S02.61XD
17,ICD10:S02.620A
17,ICD10:S02.620D
17,ICD10:S02.620K
17,ICD10:S02.621D
17,ICD10:S02.630A
17,ICD10:S02.63XD
17,ICD10:S02.640A
17,ICD10:S02.64XS
17,ICD10:S02.650A
17,ICD10:S02.66XD
17,ICD10:S02.670B
17,ICD10:S02.80XG
17,ICD10:S02.81XS
17,ICD10:S02.82XB
17,ICD10:S02.82XS
17,ICD10:S02.91XG
17,ICD10:S02.91XK
17,ICD10:S02.92XG
17,ICD10:S06.0X2D
17,ICD10:S06.0X4S
17,ICD10:S06.0X9A
17,ICD10:S06.0X9D
17,ICD10:S06.0X9S
17,ICD10:S06.1X9A
17,ICD10:S06.2X0A
17,ICD10:S06.2X0D
17,ICD10:S06.2X0S
17,ICD10:S06.2X1D
17,ICD10:S06.2X2A
17,ICD10:S06.2X5A
17,ICD10:S06.2X5S
17,ICD10:S06.2X9A
17,ICD10:S06.2X9D
17,ICD10:S06.2X9S
17,ICD10:S06.300A
17,ICD10:S06.300D
17,ICD10:S06.300S
17,ICD10:S06.301A
17,ICD10:S06.303A
17,ICD10:S06.307S
17,ICD10:S06.309A
17,ICD10:S06.309D
17,ICD10:S06.309S
17,ICD10:S06.310A
17,ICD10:S06.310D
17,ICD10:S06.310S
17,ICD10:S06.311D
17,ICD10:S06.320A
17,ICD10:S06.320D
17,ICD10:S06.320S
17,ICD10:S06.321A
17,ICD10:S06.322A
17,ICD10:S06.329A
17,ICD10:S06.329D
17,ICD10:S06.330A
17,ICD10:S06.330D
17,ICD10:S06.330S
17,ICD10:S06.331A
17,ICD10:S06.331D
17,ICD10:S06.336A
17,ICD10:S06.339A
17,ICD10:S06.339S
17,ICD10:S06.340A
17,ICD10:S06.340D
17,ICD10:S06.340S
17,ICD10:S06.341A
17,ICD10:S06.341D
17,ICD10:S06.344A
17,ICD10:S06.345S
17,ICD10:S06.346A
17,ICD10:S06.347A
17,ICD10:S06.349A
17,ICD10:S06.349D
17,ICD10:S06.349S
17,ICD10:S06.350A
17,ICD10:S06.350D
17,ICD10:S06.350S
17,ICD10:S06.351A
17,ICD10:S06.351D
17,ICD10:S06.351S
17,ICD10:S06.352A
17,ICD10:S06.355A
17,ICD10:S06.359A
17,ICD10:S06.359D
17,ICD10:S06.360A
17,ICD10:S06.360D
17,ICD10:S06.360S
17,ICD10:S06.361A
17,ICD10:S06.361D
17,ICD10:S06.362A
17,ICD10:S06.362D
17,ICD10:S06.363A
17,ICD10:S06.366A
17,ICD10:S06.366D
17,ICD10:S06.369A
17,ICD10:S06.369D
17,ICD10:S06.369S
17,ICD10:S06.379A
17,ICD10:S06.4X0A
17,ICD10:S06.4X0D
17,ICD10:S06.4X1A
17,ICD10:S06.4X4A
17,ICD10:S06.4X4S
17,ICD10:S06.4X5A
17,ICD10:S06.4X6A
17,ICD10:S06.4X9A
17,ICD10:S06.4X9D
17,ICD10:S06.5X0A
17,ICD10:S06.5X0D
17,ICD10:S06.5X0S
17,ICD10:S06.5X1A
17,ICD10:S06.5X1D
17,ICD10:S06.5X1S
17,ICD10:S06.5X2S
17,ICD10:S06.5X4A
17,ICD10:S06.5X4D
17,ICD10:S06.5X5A
17,ICD10:S06.5X5D
17,ICD10:S06.5X6A
17,ICD10:S06.5X6S
17,ICD10:S06.5X9A
17,ICD10:S06.5X9D
17,ICD10:S06.5X9S
17,ICD10:S06.6X0A
17,ICD10:S06.6X0D
17,ICD10:S06.6X0S
17,ICD10:S06.6X1A
17,ICD10:S06.6X1D
17,ICD10:S06.6X1S
17,ICD10:S06.6X4A
17,ICD10:S06.6X4D
17,ICD10:S06.6X4S
17,ICD10:S06.6X5A
17,ICD10:S06.6X6A
17,ICD10:S06.6X6S
17,ICD10:S06.6X9A
17,ICD10:S06.6X9D
17,ICD10:S06.6X9S
17,ICD10:S06.890A
17,ICD10:S06.890D
17,ICD10:S06.890S
17,ICD10:S06.891A
17,ICD10:S06.891D
17,ICD10:S06.899A
17,ICD10:S06.899D
17,ICD10:S06.9X0A
17,ICD10:S06.9X0D
